year,authors,title,problem,method,data_tools,findings,limitation,relevance,link,source_basis
2024,"Kandula, S. R.; Kassetty, N.; Alang, K. S.; Pandey, P.",Context-aware multi-factor authentication in zero trust architecture: Enhancing security through adaptive authentication,Addresses static MFA limitations such as MFA fatigue and weak recognition of contextual threats.,Conceptual/practical context-aware MFA framework for Zero Trust Architecture.,"No original dataset; draws on literature, practices and commercial context-aware MFA solutions. Discusses UEBA, device fingerprinting, geolocation/geofencing and risk scoring.",Supports adapting MFA requirements using contextual risk instead of applying a fixed requirement to every access attempt.,"No empirical prototype; privacy, signal accuracy, scalability, integration and standardisation remain challenges.",Directly supports the static-MFA problem and the proposal decision to use contextual indicators.,https://doi.org/10.21428/e90189c8.f525ef41,Assignment 1 Section A/B
2026,"Carjuman, N.; Fook, L. C.; Hlaing, Z. C.",Enhanced MFA framework against modern security threats,"Protects against modern authentication threats such as SIM swapping, phishing and MITM relays.",Adaptive MFA framework using a dynamic risk engine.,"Theoretical design; combines authentication details, biometric information, device signatures and contextual information. AES-256/TLS 1.3 and OS biometric APIs are discussed.","Proposes a risk score that can allow, challenge or deny access and lists attack detection, false positives and latency as evaluation dimensions.","No physical model, test data or performance validation.",Supports transparent risk-driven step-up decisions and highlights the need for prototype evaluation.,https://doi.org/10.1145/3785520.3785523,Assignment 1 Section A/B
2023,"Picard, C.; Pierre, S.",RLAuth: A risk-based authentication system using reinforcement learning,Uses contextual risk to adapt authentication decisions rather than relying on a fixed rule.,Deep reinforcement learning for risk-based authentication.,"Mobile Phone Use contextual dataset; Assignment 1 records 42 participants and 886,915 contexts.",Assignment 1 reports a G-Mean of 92.62% for contextual risk classification.,"Results are tied to a specific dataset, task and learning-based implementation.",Demonstrates quantitative contextual-risk evaluation but also why metrics are not directly transferable across environments.,https://doi.org/10.1109/ACCESS.2023.3286376,Assignment 1 Section A/B
2023,"Mostafa, A. M.; Ezz, M.; Elbashir, M. K.; Alruily, M.; Hamouda, E.; Alsarhani, M.; Said, W.",Strengthening cloud security: An innovative multi-factor multi-layer authentication framework for cloud user authentication,Strengthens cloud authentication while reducing false alarms and unauthorised access.,"Adaptive multi-factor, multi-layer authentication framework.","Experimental scenarios with 50–1000 cloud users; identity, location and browser information; email/SMS OTP and fingerprint options.","Assignment 1 reports FP 0–2%, FN 0–1%, and approximately 237–278 ms authentication checks at 1,000 users.",Privacy concerns and additional attack surfaces; performance depends on user and factor configuration.,Supports controllable contextual inputs and authentication latency as an evaluation dimension.,https://doi.org/10.3390/app131910871,Assignment 1 Section A/B
2025,"Syed, A.",Dynamic risk-based authentication using AI scoring models in healthcare applications,Improves healthcare authentication using context-aware risk-based MFA.,Federated-learning-enhanced dynamic risk-based authentication.,"45-day pilot; 32,000 logins from more than 2,500 users plus sandbox tests; Oracle APEX, TensorFlow Federated, FingerprintJS and Twilio API.","Assignment 1 reports 2.5% false positives, approximately 1.1 s latency, 99.98% uptime and 10 intercepted intrusions.","Limited explainability, API dependency and about 10% federated-learning overhead.",Strong empirical evidence for adaptive authentication while showing the complexity and domain dependence of learning-based solutions.,https://doi.org/10.47363/JAICC/2025(4)492,Assignment 1 Section A/B
2022,"Wazzeh, M.; Ould-Slimane, H.; Talhi, C.; Mourad, A.; Guizani, M.",Warmup and transfer knowledge-based federated learning approach for IoT continuous authentication,Investigates privacy-aware continuous authentication for IoT.,Federated learning for continuous authentication.,"Assignment 1 records MNIST, FEMNIST, CIFAR-10 and UMDAA-02-FD as evaluation datasets.",Shows that adaptive/continuous authentication can use behavioural and contextual information beyond the initial login.,"Continuous authentication has different scope, datasets and computational/privacy concerns from login-stage step-up MFA.",Supports the broader trend toward dynamic authentication while helping define the current study boundary at login-stage step-up.,https://doi.org/10.48550/arXiv.2211.05662,Assignment 1 Section A/B
2025,"Saleem, J.; Raza, U.; Hammoudeh, M.; Holderbaum, W.",Machine learning-enhanced attribute-based authentication for secure IoT access control,Improves dynamic access decisions in IoT using learned authentication attributes.,Machine-learning-enhanced attribute-based authentication.,IoT access requests; Random Forest/ML evaluation according to Assignment 1 synthesis.,Assignment 1 reports 86% accuracy and 96% recall for the IoT access-request classification task.,"Measures a different IoT classification problem, so results are not directly comparable to low-risk web step-up authentication.",Useful comparison showing why the current proposal should use metrics matched to its own access-management outcome.,https://doi.org/10.3390/s25092779,Assignment 1 Section A/B
2024,"Syahreen, M.; Hafizah, N.; Maarop, N.; Maslinan, M.",A systematic review on multi-factor authentication framework,Reviews recent MFA frameworks and their implementation/evaluation maturity.,Systematic review of MFA frameworks.,23 selected studies according to the Assignment 1 synthesis.,Assignment 1 uses the study to support the observation that many MFA frameworks remain at proof-of-concept stage.,Review evidence rather than a controlled implementation of adaptive MFA.,Supports the proposal need for an implementable and measurable proof of concept.,https://doi.org/10.14569/IJACSA.2024.01505105,Assignment 1 Section A/B
2026,"Baumer, T.; Kern, S.; Fuchs, L.; Pernul, G.",Identity and access management metrics: A systematic review,Examines how IAM is measured and evaluated across the literature.,Systematic review of IAM metrics.,IAM measurement literature.,"Assignment 1 records 43 IAM metrics across seven perspectives, illustrating evaluation heterogeneity.",Broad IAM measurement review rather than an adaptive-MFA experiment.,"Supports the decision to define project-specific metrics (LRSR, ERSC, latency) instead of combining unrelated measures.",https://doi.org/10.1145/3788858,Assignment 1 Section A/B
2023,"Bumiller, A.; Challita, S.; Combemale, B.; Barais, O.; Aillery, N.; Le Lan, G.",On understanding context modelling for adaptive authentication systems,Investigates how contextual information is represented and modelled in adaptive authentication.,Systematic mapping/literature study of context modelling for adaptive authentication.,Published context-modelling research across adaptive-authentication domains.,Identifies recurring contextual features while showing substantial variation in context modelling approaches.,Does not itself evaluate a single step-up MFA prototype.,"Strengthens the proposal rationale for choosing a small, explicit and controllable set of contextual indicators.",https://doi.org/10.1145/3582696,New paper verified via DOI/DBLP/Crossref-linked metadata
